Response_ID,Timestamp,How would you rate your overall satisfaction with the workshop?,Which academic department do you belong to?,What is your current year of study?,Which workshop topic was most valuable to you?,Which skills would you like to explore in future sessions? (Select all that apply),How clear and effective was the instructor's delivery?,Would you recommend this workshop to your peers?,What aspects of the workshop did you like the most?,What improvements or changes would you suggest?
119,2026-08-29 06:53:35.806044,5.0,Information Technology,4th Year,Python & FastAPI Backends,Docker & Kubernetes,5.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",Audio had occasional echo in the auditorium back rows.
120,2026-08-31 18:02:35.806044,5.0,Information Technology,4th Year,AI-assisted Coding & LLMs,"Docker & Kubernetes, Autonomous AI Agents, Advanced System Design",5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
121,2026-08-30 15:01:35.806044,5.0,Computer Science,1st Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Mobile App Development",5.0,Yes,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,Need more time allocated for hands-on practice rather than rapid live coding.
122,2026-08-31 00:29:35.806044,3.0,Electronics & Communication,2nd Year,Cloud Deployment & DevOps,"Docker & Kubernetes, Vector Databases & RAG",2.0,Yes,Great energy from the instructor and very well structured presentation slides.,Please include more beginner-friendly debugging tips.
123,2026-08-27 17:18:35.806044,5.0,Computer Science,2nd Year,Python & FastAPI Backends,"Mobile App Development, Docker & Kubernetes, Vector Databases & RAG",4.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Need more time allocated for hands-on practice rather than rapid live coding.
124,2026-08-29 18:53:35.806044,5.0,Computer Science,2nd Year,Cloud Deployment & DevOps,"Advanced System Design, Autonomous AI Agents",5.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
125,2026-08-31 00:05:35.806044,5.0,Computer Science,4th Year,Python & FastAPI Backends,"Mobile App Development, Autonomous AI Agents, Docker & Kubernetes",4.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",Please provide code repositories and slides earlier before the session starts.
126,2026-08-30 15:38:35.806044,4.0,Information Technology,4th Year,React & Modern UI Systems,"Vector Databases & RAG, Autonomous AI Agents, Mobile App Development",4.0,Yes,Loved building a working AI application in real time during the second half.,The pace in the second half was a bit too fast for beginners without prior Python experience.
127,2026-08-29 13:49:35.806044,5.0,Information Technology,2nd Year,React & Modern UI Systems,"Mobile App Development, Advanced System Design",4.0,Yes,The best tech workshop we had this semester. Very inspiring!,
128,2026-09-02 01:18:35.806044,4.0,Computer Science,1st Year,Python & FastAPI Backends,"Advanced System Design, Vector Databases & RAG, Autonomous AI Agents",4.0,Yes,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
129,2026-08-29 06:04:35.806044,5.0,Computer Science,2nd Year,React & Modern UI Systems,"Vector Databases & RAG, Docker & Kubernetes",5.0,Yes,,
130,2026-08-30 13:23:35.806044,5.0,Computer Science,3rd Year,Python & FastAPI Backends,"Advanced System Design, Docker & Kubernetes, Mobile App Development",5.0,Yes,,Please provide code repositories and slides earlier before the session starts.
131,2026-08-27 18:45:35.806044,5.0,Electronics & Communication,3rd Year,AI-assisted Coding & LLMs,Mobile App Development,5.0,Yes,Loved the clear explanations of REST API architecture and database models.,
132,2026-09-01 23:09:35.806044,5.0,Computer Science,2nd Year,React & Modern UI Systems,Vector Databases & RAG,5.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,Need more time allocated for hands-on practice rather than rapid live coding.
133,2026-08-30 23:22:35.806044,1.0,Computer Science,4th Year,AI-assisted Coding & LLMs,Docker & Kubernetes,1.0,Maybe,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
134,2026-08-30 04:14:35.806044,5.0,Computer Science,2nd Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Advanced System Design",5.0,Yes,The best tech workshop we had this semester. Very inspiring!,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
135,2026-08-31 20:44:35.806044,3.0,Computer Science,4th Year,Python & FastAPI Backends,"Advanced System Design, Mobile App Development",4.0,Maybe,Loved building a working AI application in real time during the second half.,The pace in the second half was a bit too fast for beginners without prior Python experience.
136,2026-08-27 19:27:35.806044,4.0,Computer Science,3rd Year,React & Modern UI Systems,Mobile App Development,4.0,Yes,,
137,2026-08-29 14:29:35.806044,5.0,AI & Data Science,2nd Year,Python & FastAPI Backends,"Autonomous AI Agents, Mobile App Development",5.0,Yes,Loved the clear explanations of REST API architecture and database models.,
138,2026-08-31 01:38:35.806044,5.0,AI & Data Science,1st Year,Cloud Deployment & DevOps,"Vector Databases & RAG, Advanced System Design",5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,The pace in the second half was a bit too fast for beginners without prior Python experience.
139,2026-08-27 17:51:35.806044,5.0,Computer Science,2nd Year,Python & FastAPI Backends,"Docker & Kubernetes, Vector Databases & RAG, Mobile App Development",5.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Please include more beginner-friendly debugging tips.
140,2026-08-31 13:18:35.806044,5.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,"Docker & Kubernetes, Autonomous AI Agents, Advanced System Design",4.0,Maybe,The best tech workshop we had this semester. Very inspiring!,The pace in the second half was a bit too fast for beginners without prior Python experience.
141,2026-08-30 20:13:35.806044,4.0,Information Technology,2nd Year,React & Modern UI Systems,"Vector Databases & RAG, Autonomous AI Agents, Docker & Kubernetes",5.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
142,2026-08-30 00:45:35.806044,5.0,Computer Science,1st Year,Python & FastAPI Backends,"Autonomous AI Agents, Vector Databases & RAG, Docker & Kubernetes",5.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",Please include more beginner-friendly debugging tips.
143,2026-08-30 12:17:35.806044,4.0,Computer Science,4th Year,Python & FastAPI Backends,"Docker & Kubernetes, Mobile App Development, Autonomous AI Agents",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
144,2026-09-01 21:05:35.806044,5.0,Electronics & Communication,2nd Year,AI-assisted Coding & LLMs,"Advanced System Design, Docker & Kubernetes",5.0,Yes,The best tech workshop we had this semester. Very inspiring!,Audio had occasional echo in the auditorium back rows.
145,2026-09-01 14:51:35.806044,4.0,Electronics & Communication,3rd Year,Cloud Deployment & DevOps,"Autonomous AI Agents, Docker & Kubernetes, Vector Databases & RAG",4.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,
146,2026-09-01 05:35:35.806044,5.0,Information Technology,4th Year,Python & FastAPI Backends,"Advanced System Design, Vector Databases & RAG, Docker & Kubernetes",5.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Please include more beginner-friendly debugging tips.
147,2026-08-28 02:16:35.806044,2.0,AI & Data Science,1st Year,Cloud Deployment & DevOps,"Mobile App Development, Vector Databases & RAG",2.0,No,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
148,2026-08-31 04:44:35.806044,5.0,Computer Science,3rd Year,Python & FastAPI Backends,Mobile App Development,4.0,Yes,Great energy from the instructor and very well structured presentation slides.,The pace in the second half was a bit too fast for beginners without prior Python experience.
149,2026-09-01 06:43:35.806044,2.0,Information Technology,2nd Year,Cloud Deployment & DevOps,Docker & Kubernetes,2.0,Maybe,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Need more time allocated for hands-on practice rather than rapid live coding.
150,2026-08-29 03:24:35.806044,3.0,Information Technology,3rd Year,Python & FastAPI Backends,"Docker & Kubernetes, Vector Databases & RAG",3.0,No,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
151,2026-08-30 03:12:35.806044,5.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,Vector Databases & RAG,5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,Need more time allocated for hands-on practice rather than rapid live coding.
152,2026-08-28 00:23:35.806044,5.0,Information Technology,1st Year,Cloud Deployment & DevOps,"Vector Databases & RAG, Mobile App Development",5.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
153,2026-08-31 15:14:35.806044,5.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,Mobile App Development,4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Some advanced AI prompting techniques needed more foundational explanation.
154,2026-08-29 14:43:35.806044,5.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,"Mobile App Development, Vector Databases & RAG, Autonomous AI Agents",5.0,Yes,The best tech workshop we had this semester. Very inspiring!,Please provide code repositories and slides earlier before the session starts.
155,2026-08-30 12:17:35.806044,5.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Advanced System Design, Autonomous AI Agents",4.0,Yes,Loved the clear explanations of REST API architecture and database models.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
156,2026-08-31 14:25:35.806044,4.0,Information Technology,1st Year,Python & FastAPI Backends,"Mobile App Development, Autonomous AI Agents",5.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Audio had occasional echo in the auditorium back rows.
157,2026-08-28 23:17:35.806044,5.0,AI & Data Science,3rd Year,Python & FastAPI Backends,"Autonomous AI Agents, Advanced System Design, Vector Databases & RAG",5.0,Yes,,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
158,2026-08-31 21:06:35.806044,5.0,Information Technology,3rd Year,Cloud Deployment & DevOps,"Mobile App Development, Autonomous AI Agents",5.0,Yes,Loved the clear explanations of REST API architecture and database models.,
159,2026-09-01 10:00:35.806044,4.0,Computer Science,1st Year,Python & FastAPI Backends,Docker & Kubernetes,4.0,Yes,Loved the clear explanations of REST API architecture and database models.,Audio had occasional echo in the auditorium back rows.
160,2026-09-01 04:57:35.806044,5.0,Computer Science,2nd Year,AI-assisted Coding & LLMs,"Mobile App Development, Autonomous AI Agents, Advanced System Design",4.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Please include more beginner-friendly debugging tips.
161,2026-08-30 22:10:35.806044,5.0,AI & Data Science,4th Year,AI-assisted Coding & LLMs,Autonomous AI Agents,5.0,Yes,,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
162,2026-09-01 03:55:35.806044,4.0,Electronics & Communication,3rd Year,Python & FastAPI Backends,Advanced System Design,4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
163,2026-08-30 16:33:35.806044,4.0,Electronics & Communication,4th Year,Cloud Deployment & DevOps,Docker & Kubernetes,5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,Need more time allocated for hands-on practice rather than rapid live coding.
164,2026-08-31 11:37:35.806044,4.0,Information Technology,1st Year,AI-assisted Coding & LLMs,Docker & Kubernetes,5.0,Yes,Great energy from the instructor and very well structured presentation slides.,The pace in the second half was a bit too fast for beginners without prior Python experience.
165,2026-08-30 17:20:35.806044,5.0,Information Technology,2nd Year,Python & FastAPI Backends,"Autonomous AI Agents, Mobile App Development, Vector Databases & RAG",5.0,Yes,,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
166,2026-08-27 19:35:35.806044,3.0,Computer Science,3rd Year,Python & FastAPI Backends,"Advanced System Design, Vector Databases & RAG, Mobile App Development",3.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
167,2026-09-01 16:39:35.806044,5.0,Computer Science,4th Year,Cloud Deployment & DevOps,"Advanced System Design, Vector Databases & RAG, Mobile App Development",5.0,Yes,Loved the clear explanations of REST API architecture and database models.,
168,2026-08-29 03:11:35.806044,5.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,"Mobile App Development, Docker & Kubernetes, Autonomous AI Agents",5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,
169,2026-09-01 10:31:35.806044,3.0,Computer Science,1st Year,AI-assisted Coding & LLMs,Docker & Kubernetes,4.0,Maybe,The best tech workshop we had this semester. Very inspiring!,Please include more beginner-friendly debugging tips.
170,2026-08-30 15:43:35.806044,4.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,"Docker & Kubernetes, Vector Databases & RAG, Autonomous AI Agents",5.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,
171,2026-09-01 13:58:35.806044,5.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Advanced System Design, Vector Databases & RAG",4.0,Maybe,,Please provide code repositories and slides earlier before the session starts.
172,2026-08-31 13:06:35.806044,5.0,Computer Science,2nd Year,Python & FastAPI Backends,Autonomous AI Agents,5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,
173,2026-08-30 12:49:35.806044,5.0,AI & Data Science,2nd Year,AI-assisted Coding & LLMs,Autonomous AI Agents,5.0,Yes,Loved the clear explanations of REST API architecture and database models.,
174,2026-08-28 14:45:35.806044,4.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,"Mobile App Development, Vector Databases & RAG",3.0,Yes,Loved building a working AI application in real time during the second half.,
175,2026-09-01 05:36:35.806044,4.0,AI & Data Science,3rd Year,React & Modern UI Systems,"Advanced System Design, Mobile App Development",3.0,Yes,,
176,2026-08-28 11:56:35.806044,5.0,Computer Science,3rd Year,Python & FastAPI Backends,Vector Databases & RAG,4.0,Yes,The best tech workshop we had this semester. Very inspiring!,The pace in the second half was a bit too fast for beginners without prior Python experience.
177,2026-09-01 18:43:35.806044,4.0,Computer Science,4th Year,Cloud Deployment & DevOps,"Autonomous AI Agents, Vector Databases & RAG",3.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,Some advanced AI prompting techniques needed more foundational explanation.
178,2026-08-28 10:43:35.806044,4.0,Information Technology,3rd Year,React & Modern UI Systems,"Vector Databases & RAG, Autonomous AI Agents, Docker & Kubernetes",4.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
179,2026-08-30 00:13:35.806044,4.0,Computer Science,1st Year,Python & FastAPI Backends,"Autonomous AI Agents, Docker & Kubernetes",5.0,Maybe,The AI integration section was eye opening and directly applicable to our capstone project.,Need more time allocated for hands-on practice rather than rapid live coding.
180,2026-08-30 16:03:35.806044,4.0,Electronics & Communication,2nd Year,Python & FastAPI Backends,"Vector Databases & RAG, Autonomous AI Agents",3.0,Yes,,
181,2026-08-31 13:43:35.806044,5.0,AI & Data Science,1st Year,Python & FastAPI Backends,"Mobile App Development, Docker & Kubernetes",4.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
182,2026-08-28 14:08:35.806044,5.0,Information Technology,3rd Year,Python & FastAPI Backends,Advanced System Design,4.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",The pace in the second half was a bit too fast for beginners without prior Python experience.
183,2026-08-29 04:23:35.806044,5.0,Information Technology,3rd Year,React & Modern UI Systems,Mobile App Development,5.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
184,2026-08-30 07:52:35.806044,5.0,Computer Science,1st Year,AI-assisted Coding & LLMs,Mobile App Development,4.0,Yes,Loved building a working AI application in real time during the second half.,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
185,2026-08-29 06:08:35.806044,5.0,Computer Science,2nd Year,React & Modern UI Systems,"Advanced System Design, Vector Databases & RAG",5.0,Yes,The best tech workshop we had this semester. Very inspiring!,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
186,2026-08-30 05:57:35.806044,5.0,Computer Science,4th Year,Cloud Deployment & DevOps,Docker & Kubernetes,5.0,Maybe,Practical examples rather than just boring slides. Outstanding workshop!,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
187,2026-08-30 21:24:35.806044,5.0,Electronics & Communication,1st Year,React & Modern UI Systems,Mobile App Development,5.0,Maybe,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Audio had occasional echo in the auditorium back rows.
188,2026-08-31 08:26:35.806044,4.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,Mobile App Development,5.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,Audio had occasional echo in the auditorium back rows.
189,2026-08-30 14:46:35.806044,4.0,Computer Science,4th Year,React & Modern UI Systems,Docker & Kubernetes,3.0,Yes,The best tech workshop we had this semester. Very inspiring!,
190,2026-08-31 04:37:35.806044,2.0,AI & Data Science,2nd Year,React & Modern UI Systems,Docker & Kubernetes,3.0,No,Loved the clear explanations of REST API architecture and database models.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
191,2026-08-30 01:24:35.806044,4.0,Computer Science,2nd Year,Python & FastAPI Backends,Mobile App Development,4.0,Yes,,Please provide code repositories and slides earlier before the session starts.
192,2026-08-28 04:23:35.806044,5.0,AI & Data Science,3rd Year,AI-assisted Coding & LLMs,"Mobile App Development, Autonomous AI Agents",5.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,
193,2026-08-29 05:32:35.806044,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,Vector Databases & RAG,4.0,Yes,Loved the clear explanations of REST API architecture and database models.,
194,2026-08-30 16:59:35.806044,4.0,Information Technology,2nd Year,React & Modern UI Systems,"Mobile App Development, Autonomous AI Agents",4.0,Yes,Loved building a working AI application in real time during the second half.,Audio had occasional echo in the auditorium back rows.
195,2026-08-29 17:38:35.806044,4.0,Computer Science,2nd Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Docker & Kubernetes, Advanced System Design",3.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
196,2026-09-01 10:19:35.806044,5.0,Information Technology,4th Year,AI-assisted Coding & LLMs,"Docker & Kubernetes, Mobile App Development",5.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Please provide code repositories and slides earlier before the session starts.
197,2026-08-31 08:18:35.806044,5.0,Computer Science,1st Year,AI-assisted Coding & LLMs,"Advanced System Design, Vector Databases & RAG",5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,
198,2026-08-31 03:19:35.806044,5.0,Information Technology,4th Year,Cloud Deployment & DevOps,Vector Databases & RAG,5.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,Need more time allocated for hands-on practice rather than rapid live coding.
199,2026-09-01 22:30:35.806044,2.0,Computer Science,1st Year,React & Modern UI Systems,"Mobile App Development, Advanced System Design",3.0,No,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
200,2026-08-29 04:25:35.806044,4.0,Computer Science,2nd Year,AI-assisted Coding & LLMs,Advanced System Design,5.0,Yes,,Need more time allocated for hands-on practice rather than rapid live coding.
201,2026-08-30 14:33:35.806044,4.0,AI & Data Science,1st Year,React & Modern UI Systems,"Vector Databases & RAG, Docker & Kubernetes, Autonomous AI Agents",5.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",Please provide code repositories and slides earlier before the session starts.
202,2026-08-30 00:29:35.806044,5.0,AI & Data Science,1st Year,React & Modern UI Systems,"Mobile App Development, Vector Databases & RAG, Docker & Kubernetes",5.0,Yes,,
203,2026-08-28 16:48:35.806044,5.0,AI & Data Science,3rd Year,Python & FastAPI Backends,"Docker & Kubernetes, Advanced System Design, Mobile App Development",5.0,Yes,Loved the clear explanations of REST API architecture and database models.,Please provide code repositories and slides earlier before the session starts.
204,2026-08-28 07:03:35.806044,1.0,Electronics & Communication,3rd Year,Cloud Deployment & DevOps,Vector Databases & RAG,1.0,No,,
205,2026-08-28 22:20:35.806044,5.0,AI & Data Science,3rd Year,Python & FastAPI Backends,"Mobile App Development, Autonomous AI Agents",5.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Some advanced AI prompting techniques needed more foundational explanation.
206,2026-08-31 11:24:35.806044,5.0,Electronics & Communication,2nd Year,Cloud Deployment & DevOps,"Autonomous AI Agents, Mobile App Development, Docker & Kubernetes",4.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",Audio had occasional echo in the auditorium back rows.
207,2026-08-28 18:17:35.806044,5.0,Electronics & Communication,3rd Year,Python & FastAPI Backends,"Vector Databases & RAG, Mobile App Development, Advanced System Design",5.0,Yes,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,
208,2026-08-31 02:02:35.806044,4.0,AI & Data Science,2nd Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Advanced System Design",5.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
209,2026-09-01 19:53:35.806044,5.0,AI & Data Science,1st Year,AI-assisted Coding & LLMs,"Docker & Kubernetes, Vector Databases & RAG, Mobile App Development",5.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
210,2026-08-30 05:39:35.806044,5.0,Computer Science,3rd Year,Python & FastAPI Backends,Mobile App Development,4.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,
211,2026-08-29 16:51:35.806044,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,Vector Databases & RAG,5.0,Yes,,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
212,2026-08-30 00:38:35.806044,3.0,Computer Science,2nd Year,React & Modern UI Systems,Autonomous AI Agents,4.0,No,,
213,2026-08-31 16:13:35.806044,5.0,Information Technology,4th Year,AI-assisted Coding & LLMs,Advanced System Design,5.0,Yes,The best tech workshop we had this semester. Very inspiring!,
214,2026-09-01 21:03:35.806044,5.0,AI & Data Science,3rd Year,Python & FastAPI Backends,"Autonomous AI Agents, Vector Databases & RAG",5.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
215,2026-08-31 03:40:35.806044,1.0,Information Technology,2nd Year,Cloud Deployment & DevOps,"Mobile App Development, Docker & Kubernetes, Advanced System Design",1.0,No,The AI integration section was eye opening and directly applicable to our capstone project.,Please provide code repositories and slides earlier before the session starts.
216,2026-08-27 14:49:35.806044,3.0,Information Technology,1st Year,AI-assisted Coding & LLMs,"Advanced System Design, Mobile App Development, Vector Databases & RAG",4.0,Maybe,Practical hands-on session made difficult backend concepts very clear and easy to follow.,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
217,2026-08-29 02:26:35.806044,2.0,Computer Science,1st Year,Cloud Deployment & DevOps,"Advanced System Design, Autonomous AI Agents",2.0,No,Practical examples rather than just boring slides. Outstanding workshop!,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
218,2026-08-27 20:27:35.806044,4.0,Computer Science,4th Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Autonomous AI Agents, Mobile App Development",3.0,Yes,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,
219,2026-09-01 22:40:35.806044,5.0,Computer Science,2nd Year,React & Modern UI Systems,"Autonomous AI Agents, Advanced System Design",5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,
220,2026-08-27 21:16:35.806044,5.0,Computer Science,4th Year,Python & FastAPI Backends,"Vector Databases & RAG, Docker & Kubernetes, Autonomous AI Agents",5.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Please provide code repositories and slides earlier before the session starts.
221,2026-08-28 19:44:35.806044,5.0,AI & Data Science,1st Year,React & Modern UI Systems,"Vector Databases & RAG, Advanced System Design",4.0,Yes,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,Audio had occasional echo in the auditorium back rows.
222,2026-08-28 19:12:35.806044,5.0,Computer Science,2nd Year,React & Modern UI Systems,Advanced System Design,4.0,Yes,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,
223,2026-09-01 02:22:35.806044,3.0,Information Technology,1st Year,Python & FastAPI Backends,"Docker & Kubernetes, Autonomous AI Agents",3.0,Yes,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,Some advanced AI prompting techniques needed more foundational explanation.
224,2026-08-30 17:31:35.806044,5.0,AI & Data Science,3rd Year,AI-assisted Coding & LLMs,Advanced System Design,5.0,Maybe,Loved building a working AI application in real time during the second half.,
225,2026-09-01 19:51:35.806044,4.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,Mobile App Development,3.0,Maybe,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
226,2026-08-30 12:53:35.806044,2.0,Electronics & Communication,2nd Year,Cloud Deployment & DevOps,Autonomous AI Agents,2.0,No,Loved the clear explanations of REST API architecture and database models.,Need more time allocated for hands-on practice rather than rapid live coding.
227,2026-08-30 03:08:35.806044,5.0,Electronics & Communication,1st Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Mobile App Development, Docker & Kubernetes",5.0,Yes,Loved building a working AI application in real time during the second half.,
228,2026-09-01 08:43:35.806044,4.0,Computer Science,3rd Year,React & Modern UI Systems,Autonomous AI Agents,4.0,Yes,Great energy from the instructor and very well structured presentation slides.,Please provide code repositories and slides earlier before the session starts.
229,2026-08-28 09:46:35.806044,5.0,Computer Science,2nd Year,AI-assisted Coding & LLMs,Mobile App Development,5.0,Maybe,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Please provide code repositories and slides earlier before the session starts.
230,2026-08-28 10:04:35.806044,5.0,AI & Data Science,2nd Year,React & Modern UI Systems,"Vector Databases & RAG, Autonomous AI Agents",5.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",The pace in the second half was a bit too fast for beginners without prior Python experience.
231,2026-08-31 09:00:35.806044,3.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Autonomous AI Agents, Advanced System Design",4.0,Maybe,,Please provide code repositories and slides earlier before the session starts.
232,2026-08-27 14:10:35.806044,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Docker & Kubernetes, Advanced System Design",5.0,Yes,,
233,2026-09-01 15:46:35.806044,4.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Vector Databases & RAG",4.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,Audio had occasional echo in the auditorium back rows.
234,2026-08-30 08:17:35.806044,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Autonomous AI Agents",5.0,Yes,The best tech workshop we had this semester. Very inspiring!,
235,2026-08-29 04:50:35.806044,5.0,Information Technology,4th Year,Python & FastAPI Backends,Advanced System Design,5.0,Yes,Loved the clear explanations of REST API architecture and database models.,Audio had occasional echo in the auditorium back rows.
236,2026-08-31 23:18:35.806044,5.0,AI & Data Science,2nd Year,React & Modern UI Systems,Autonomous AI Agents,5.0,Yes,Loved building a working AI application in real time during the second half.,
237,2026-09-01 03:14:35.806044,4.0,AI & Data Science,1st Year,Cloud Deployment & DevOps,Vector Databases & RAG,4.0,Maybe,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,The pace in the second half was a bit too fast for beginners without prior Python experience.
238,2026-08-31 20:52:35.806044,4.0,Electronics & Communication,2nd Year,React & Modern UI Systems,Vector Databases & RAG,4.0,Maybe,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",Need more time allocated for hands-on practice rather than rapid live coding.
239,2026-09-01 17:20:35.806044,5.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,Mobile App Development,5.0,Yes,Great energy from the instructor and very well structured presentation slides.,Please provide code repositories and slides earlier before the session starts.
240,2026-08-27 20:13:35.806044,5.0,Computer Science,2nd Year,Python & FastAPI Backends,"Vector Databases & RAG, Docker & Kubernetes",5.0,Yes,,
